Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Thumbnail impressions,Thumbnail click-through rate (%)
1zACMXkWenQ,¿Cómo diseñar en Adobe XD mi app de Flutter?,"Nov 30, 2021",1907,7,0.5916,0,0.267,51,5.88
qLnsk-ZqlEI,Flutter en Español ¿Cómo Hacer una Página de Categorias?,"Apr 13, 2021",1889,7,0.235,0,0.056,53,7.55
b6W-Ycz2sWc,"Every project starts small. Usually, it's just a few developers with a big idea 💡","Oct 3, 2024",7,7,0.0008,0,,33,0
19HSzlDxRis,¿Crees que la publicidad te hará millonario con tu app? 📱,"Sep 10, 2025",51,7,0.0278,0,0.001,160,1.25
J40rj0Ee9ts,Flutter en Español Firebase Crud Parte 2 || Eliecer Garcia,"Jan 6, 2021",2225,7,0.0743,0,0.009,83,4.82
qQkc3OLaU9w,006. Cómo uso IA para automatizar mi trabajo como developer,"Oct 7, 2025",653,7,0.3494,1,0.406,368,1.36
5sBbqng43vE,Como saber cuando la laptop es de un programador,"Apr 6, 2023",20,7,0.0106,0,0.001,126,1.59
NpArSU3jHKQ,Reparé mi Cafetera por $20 pesos,"Dec 19, 2025",67,7,0.0121,0,0.002,65,0
FDTQwSng4Sk,"iPadOS 26 multitasking, what do you think?","Oct 6, 2025",8,7,0.0094,0,0.003,42,2.38
zxEW7eOWBlI,Tendencias de apps en 2025,"Feb 20, 2025",151,7,0.0547,0,0.007,58,0
xdmtvrnCxHk,¿Cómo extraer un widget Flutter en Español?,"Jul 13, 2021",588,7,0.1109,0,0.036,94,2.13
MQ_7eXfbHS8,¿Cómo se pueden pasar datos entre pantallas durante la navegación?no.13  #flutterdeveloper  #dev,"Oct 6, 2023",28,7,0.0275,0,0.004,146,2.05
O859I5QOUDI,¿Cómo consultar una API en Flutter? Parte 2,"Jul 27, 2021",399,7,0.3235,0,0.019,67,5.97
eFUrGc-sG8I,#21 Los 7 mejores tips para ser un programador autodidacta,"Jun 4, 2023",1119,7,0.9411,0,0.051,82,4.88
zK4mf2nBm0M,Una iPad le sirve a un programador?,"Jun 2, 2025",95,6,0.0588,0,0.006,92,4.35
lMphydFR4wM,Gracias 2025 🎄,"Dec 26, 2025",12,6,0.0066,0,0.001,70,0
LERnnErfSKw,Esto es black Ice Labs,"Aug 22, 2025",31,6,0.0194,0,0.008,40,2.5
Aw24kJrnoGM,¿Cómo gestionar un Proyecto en GitHub?,"Sep 6, 2022",512,6,0.1562,0,,109,0.92
xn7ZcnqctE8,070. Así organizo mi semana,"Jun 2, 2025",1144,6,0.455,0,0.019,224,0.45
hsGjslQHbg0,Aprendiendo cosas básicas de RUST,"Nov 7, 2023",37,6,0.0088,0,0.002,73,1.37
Q5017yGcnjg,Mi vida es café ☕ y código 🧑🏼‍💻,"Sep 23, 2022",6,6,0.006,0,0.003,110,0.91
TbNuSBS47CI,Flutter Tutorial   BottomAppBar con un Centrado de FAB,"Jun 21, 2022",670,6,0.0552,0,0.074,47,6.38
7hC2WlZhbOE,Flutter tutorial Firebase Store ¿Cómo Eliminar objetos en español?,"Aug 16, 2022",375,6,0.0527,0,0.109,117,4.27
L2pNhpnsmpU,¿Por qué Flutter es el futuro del desarrollo de aplicaciones móviles? || Eliecer Garcia,"Jun 16, 2020",371,6,0.2026,0,0.003,110,3.64
XxkW6Hb8wks,"Flutter y Supabase, CRUD Parte 0","Jul 29, 2024",419,6,0.1989,0,0.083,103,0.97
CQenUZPgOvE,NO uses IA para código que no entiendes #programadores #chatgpt,"Dec 12, 2025",15,6,0.0124,0,0.002,31,0
WM_r2ADF9eE,¿Cómo Programar Mejor? Gracias Notion,"Oct 24, 2023",482,6,0.2098,0,0.071,211,1.42
3qi2qxn40Y0,Mejor tomate un café si tu código no compila #coffee #developer #softwaredeveloper,"Feb 28, 2023",11,6,0.005,0,0.001,70,0
I6PWZPpWt8Y,052. Un programador puede trabajar donde quiera!,"Oct 7, 2024",618,6,0.0044,0,0,96,1.04
wjrssc0hJUs,¿Cómo hacer aplicaciones responsivas en Flutter? Curso de flutter en español,"Sep 12, 2023",349,6,0.1083,0,0.033,114,3.51
cQZCIfpALXA,#003 ¿Cómo hacer preguntas durante el curso de flutter en español? Curso de Flutter en español,"Nov 29, 2022",129,6,0.0728,0,0.012,144,1.39
KrhgNtbzUI4,Coffee And Code #03 Diegoveloper,"Oct 19, 2021",2997,6,1.3629,0,0.001,54,0
3fcL_Wc-HZY,"Flutter y Supabase, como encontraron ideas para hacer apps parte 4 #developer #flutterdeveloper","Aug 2, 2024",60,5,0.0161,0,0.003,131,0.76
BZS3OI7QdHo,En las comunidades puedes aprender muchas cosas de programación!,"Jun 8, 2023",59,5,0.033,0,0.003,52,3.85
_4UhQ6hL0pQ,React Native VS Flutter Cual Es Mejor? || Eliecer Garcia,"Aug 4, 2020",823,5,0.4282,0,0.275,296,1.35
9oUx7Vpmoxk,Como aprender a programar sin sufrir || Eliecer Coding,"May 19, 2020",90,5,0.0433,0,0.019,62,8.06
27Id5jQS7jQ,Talent land 2025,"Apr 22, 2025",10,5,0.0083,0,0.001,59,0
f4qB_XDZTrs,Flutter Programa Conmigo || Eliecer Coding,"Sep 29, 2020",1580,5,1.537,0,0.06,67,5.97
M21AyDFdkWg,no chingues limpia tu teclado #developer #programador,"Aug 29, 2023",29,5,0.0066,0,0.001,51,1.96
6_-WuS0O3I0,Flutter Integration Test Termina Mal,"Jul 13, 2022",1009,5,0.1686,0,0.042,330,1.21
1Ig2kwa5vGc,No se que hacer en Hold,"Dec 23, 2025",27,5,0.0065,0,0.001,65,0
AMQq8F5BGqc,"La trampa del ""Piloto Automático""","Dec 8, 2025",22,5,0.0052,0,0.004,61,0
3W97dhWUPjk,¿Cómo aprender Flutter por mi cuenta? #007 Curso de Flutter en español,"Dec 27, 2022",217,5,0.1145,0,0.068,125,3.2
lnLrf1878Hs,¿Que es un POAP?  Proof of Attendance Protocol #web3 #nft,"Apr 2, 2023",44,5,0.0233,1,0.001,127,0.79
cteDMaO5ma0,Me caes mal bugs de producción que no sale en test,"Nov 28, 2024",14,5,0.0091,0,0.001,15,0
NO2PX_mozEc,067. Termine en un hackathon por error.,"May 6, 2025",674,5,0.0902,0,0.007,203,0.99
Rz1X97ihkGU,"Flutter and DApps en español, ¿Cómo descentralizar una aplicación?","Jul 26, 2022",228,5,0.1039,0,0.005,72,6.94
Koc6qNcGyfc,¿Cómo aprender backend sin morir en el intento?,"May 2, 2024",373,5,0.2445,0,0.005,209,0.48
uU_codsOhuM,Esto y no saber que es una PR,"Aug 12, 2025",7,5,0.003,0,0.001,45,0
MDtj4Z_JkJU,050. Los programadores están obsoletos,"Aug 5, 2024",942,5,0.5262,0,0.362,203,0
L3tRYH0F2Uk,Cómo darle contexto a tu IA y mejorar tus resultados en segundos,"Oct 12, 2025",25,5,0.0076,0,0.003,194,0.52
nmxtyexJqMk,Depende en México 🇲🇽 todos usan C# 😫 ,"Jul 30, 2025",78,5,0.0475,0,0.002,29,6.9
2MYz4S2lWsg,¿Que tenía que hacer en el hackathon?,"Jun 1, 2025",19,5,0.0117,0,0.002,31,3.23
zw7b6kj6FvQ,Flutter en Español Firebase Crud Parte 3 || Eliecer Garcia,"Jan 13, 2021",194,5,0.0888,0,0.001,73,4.11
vNTxhzCVyCw,Este es mi perfume favorito #macbookpro,"Dec 24, 2024",7,4,0.016,0,0.001,21,4.76
ro_zr0ZgfEU,El sueño americano cómo programador #flutterapp #programador,"Sep 19, 2024",53,4,0.0311,0,0.002,86,1.16
CYnvu7T1EPM,Lo que realmente importa de Gemini 3.0,"Dec 3, 2025",32,4,0.0119,0,0.002,181,0.55
X9q7Qhyohr4,¿Es posible organizar una boda con AI?,"Oct 27, 2025",66,4,0.0153,0,0.001,95,1.05
3J7_-uo0mj4,¿Que videojuego quieres jugar este 2023?,"Jan 2, 2023",6,4,0.0043,0,0.002,62,0
i9XNpcLv6EA,Flutter and Firestore en español ¿Porqué no me buildea el app en iOS?,"Jul 28, 2022",256,4,0.0887,1,0.003,75,5.33
MxNX5JVv1h4,No soy financiero pero así compré mi carro nuevo,"Aug 4, 2025",74,4,0.0015,0,,23,0
Ee_rY_brkoU,¿Cómo hacer un linktree con nextjs y nextui? #next #nextjs13,"Aug 29, 2023",520,4,0.044,0,,80,1.25
7-aPjbfw7M0,¿Cómo hacer una app viral con Flutter? (Ft Alejandro Apodaca),"Mar 24, 2021",3788,4,1.2123,0,0.045,65,1.54
2u5qnaOs8iI,"#22 Como empezaría a programar desde 0, si tuviera que volver a empezar.","Jun 11, 2023",1163,4,0.0276,0,,59,3.39
k6DxZz2Myss,Paquetes básicos que todo flutter developer debería conocer,"Sep 19, 2023",33,4,0.0171,0,0.002,114,1.75
8dy6p_M-3QY,Herramientas que uso como desarrollador de Flutter en Español,"Oct 5, 2021",308,4,0.1042,0,0.002,122,3.28
PF8TwqI-UeU,069. cómo crear apps AI-first en 2025,"May 27, 2025",665,4,0.0519,0,,231,0.87
UbiX6k8VZvw,GRACIAS POR LOS 4K!,"Jul 26, 2022",12,4,0.0051,0,0.001,20,5
FeMbkkRmmWA,OpenAI acaba de cambiar lo que significa ser programador,"Oct 15, 2025",872,4,0.0184,0,0,429,0.47
W8mK-FeSM1E,Está bien fallar!!,"Mar 15, 2024",6,4,0.0034,0,0.002,50,0
-vOkpamzoyo,Cuál tu motivación para programar?,"Apr 6, 2025",16,4,0.0106,0,0.002,34,2.94
gAWs8ASX4lQ,Por qué los devs seguirán siendo esenciales en la era de la IA,"Oct 10, 2025",15,4,0.0092,0,0.002,74,1.35
22dvhBtMLO4,Me encanta hablar de flutter,"Feb 12, 2024",16,4,0.0048,0,0.003,35,2.86
TToEAtiuz58,¿Cómo ser fullstack developer? parte 3 #fullstack #fullstackdevelopers #softwaredeveloper,"Mar 10, 2023",60,4,0.0206,0,0.002,84,1.19
Y320XRw4LPM,"WWDC 25, ¿qué esperar de ella? Un Siri al nivel de la competencia","Jun 6, 2025",81,4,0.0043,0,0.002,88,0
wc64rzfxDcA,¿Cómo aprender un nuevo lenguaje de programación? parte 3 #flutterdeveloper #flutterenespanol,"Sep 8, 2023",60,4,0.0036,0,0,19,0
zhjjwySkrfA,¿Cómo pasar una entrevista técnica?,"Apr 12, 2024",39,4,0.0038,0,0.001,64,0
rneKmSDNA74,028.  ¿Cómo hacer una app móvil desde cero?,"Oct 29, 2023",895,4,0.1497,0,0.039,58,0
NJPr5VrjuOg,OpenAI acaba de cambiar el futuro de los programadores,"Oct 15, 2025",39,4,0.0251,0,0.002,106,0.94
cPhENRBR550,When the bug isn't yours… but backend's 😅,"Jul 11, 2025",12,4,0.007,0,0.001,57,0
hHmNK8TwtmE,Solo tienes que buscarlo,"Aug 23, 2022",12,4,0.0084,0,0,11,0
85xMMBPjIDM,057.  ¿Cómo generar 3 fuentes de ingresos programando?,"Nov 20, 2024",750,4,0.5017,0,0.018,109,0
Q9Rlx0avjCM,#023 Empezando un Side Project: Desarrollando tus Ideas en Programación,"Jun 18, 2023",707,4,0.1647,0,0.028,56,7.14
-aJxA7X9TUQ,No sé qué está peor 🥲,"Feb 18, 2025",7,4,0.0037,0,0.001,13,0
WyFvbnVeafE,Como empezar a programar si vengo de finanzas?,"May 19, 2023",47,3,0.0039,0,0.001,109,0
ZJHvTsjbkuw,¿Qué te dirías a ti mismo?,"Jul 15, 2024",6,3,0.0014,0,0.001,65,1.54
4ukKND_Lh1Q,Los programadores debemos ser flojos para solucionar problemas,"May 23, 2023",59,3,0.0061,0,0.002,75,0
v8wXfGpj4-M,059. ¿COMO VENDER MÁS SIENDO FREELANCER?,"Dec 2, 2024",524,3,0.0705,0,0.003,122,0
